Seed,Score,Steps
250,0.9279307266012592,201
251,1.0,133
252,0.9996521646394568,201
253,0.9672400964632955,201
254,1.0,98
255,0.9858216771075394,201
256,1.0,87
257,1.0,125
258,0.9556477528423836,201
259,0.8507167471476383,201
260,1.0,181
261,1.0,142
262,0.9146716108396048,201
263,0.9944486840293795,201
264,0.9288299500677141,201
265,0.9903026604997296,201
266,1.0,125
267,1.0,193
268,0.9756413473106597,201
269,0.9961600218359302,201
270,1.0,72
271,0.9855091668137154,201
272,1.0,150
273,0.9566771153784837,201
274,0.9641652827901729,201
275,0.8970804675318117,201
276,1.0,153
277,0.9373159902719236,201
278,1.0,177
279,0.9374238785482106,201
280,0.9568213302280942,201
281,0.9738152146161982,201
282,1.0,64
283,0.9806113227924701,201
284,0.9070270569481526,201
285,1.0,111
286,1.0,112
287,0.0,201
288,0.9825931245151701,201
289,0.9618650319953957,201
290,0.997877958665911,201
291,0.2433265582625768,201
292,0.9640775326824674,201
293,0.9747947363904561,201
294,0.9057984172319122,201
295,0.9453050132401364,201
296,1.0,130
297,1.0,185
298,0.7961891912727007,201
299,0.8276740123918701,201
